Timestamp,Temperature (C),Status
2026-08-17 14:30:00,42.1,OK
2026-08-17 14:30:05,42.8,OK
2026-08-17 14:30:10,43.2,OK
2026-08-17 14:30:15,44.0,OK
2026-08-17 14:30:20,45.6,OK
2026-08-17 14:30:25,47.3,OK
2026-08-17 14:30:30,49.1,OK
2026-08-17 14:30:35,52.4,OK
2026-08-17 14:30:40,55.8,OK
2026-08-17 14:30:45,58.9,OK
2026-08-17 14:30:50,61.2,ALERT
2026-08-17 14:30:55,62.7,ALERT
2026-08-17 14:31:00,60.5,ALERT
2026-08-17 14:31:05,57.3,OK
2026-08-17 14:31:10,53.6,OK
2026-08-17 14:31:15,50.2,OK
2026-08-17 14:31:20,47.9,OK
2026-08-17 14:31:25,45.4,OK
2026-08-17 14:31:30,44.1,OK
2026-08-17 14:31:35,43.0,OK
